,0
31,"💥 This is a cracking Pessac-Leognan for £59 in a top vintage that's great to drink now & will evolve into a 5⭐️ beauty in 5-10 years 👍 🍇 65% Cab S, 20% Mer & 5% Pet V 🍷Dark ruby red 👃 Gravel, mineral, earthy, tobacco, wet leaves, pencil lead, mocha, plummy & dark berry - yummy! 👄 Soft warming super silky medium body of mocha driven stewed dark plum/berry 🎯 Long dirty earthy soft mocha dark plum slight sweet drying finish"
32,"When tasting bordeaux blind, first thing is to identify the left bank (cab sav - green bell pepper) or right bank (merlot - black plums) character. When a wine divides a group, it often turns out to be a left bank with higher merlot content (Pichon Lalande, Palmer). This one didn't quite have that quality level so it could be many things. Dried blackberry, roasted spice, light earthiness and a soft mature palate. Classic consistent bordeaux at a fair price. (Blend had 40% merlot so we weren't too far off)."
33,"This is a fantastic example of pessac-leognan Blend of Cabernet Sauvignon, merlot, Cabernet franc and petit Verdot , aged for 18months where partially in new French oak Appearance:deep ruby red in colour Nose:very attractive and expressive bouquet ( aromas of red fruits, dark fruits, liquorice) Palate: it has a silky texture, soft polished tannins, moderate acidity, concentrated notes of red and dark cherries, cassis, liquorice, sweet oak Length:very persistent length"
34,"DdC blind vertical tasting 10/10: Boom! The best wine of the tasting was the last one! 30 years old and outstanding! Solid 4.5 stars!🤩 Many layers and a great acidity/tannin structure.🙌🏻👌🏻🍷 A medium garnet color with thin legs. On the nose medium+ intense aromas of prunes, dried cherries, pencil shaves, smoke, slightly paprika powder and balsamic notes. The red has a medium and juicy acidity, medium velvety and perfect integrated tannins. It’s medium bodied with 12% ABV. Medium+ flavors of plums, ~~~~>>"
35,"Region: Pessac-Leognan Grape Variety: Bordeaux Blend Red ABV: 13.5% Stopper: Cork Full bodied red wine. Ruby red with violet reflections in colour, on the nose, aromas of cassis and plum with notes of spices. Medium tannins. Well-balanced in acidity. Savory and classic red wine in style. On the palate, dry, oaky, soft, velvety, earthy, hint of tobacco, touch of cedar, spicy, delivers dark red fruit character, structured, ability to age, filld=ed with ripe, elegant, balanced, lenfgthy. It has a long finish."
36,"Shared by @Wine Aficionado at our recent London Vivino dinner, a blend of 66/28/6 Cab Sauv/Merlot/Petit Verdot aged 18m in 35% new oak. Med ruby. Pronounced aroma intensity, superbly elegant w. red & black cherry, blackcurrant & raspberry fruitcake. Liquorice, tobacco leaf, cedar & vanillin wood spice. Developing. Dry. Rich & silky w. m+ fine tannins, high acid, m+ alc, creamy blackcurrant, black cherry & black raspberry. Light vanilla, cedar & fruitcake w. a touch of cigar tobacco to a long finish. Yum!"
37,"A good value vintage and definitely worth the money! Lots of mature red and black fruits, smokey, earthy, hints of forest leaf. It's elegance are praised by the black fruit perfume, sweet spice, very smooth tannins, medium bodied. Fine wine indeed! For anyone who enjoy drinking fine mature wines, look no further. As you probably won't find a better wine within this price range. A wine that you would bring to a fancy wine gathering!! Absolutely beautiful!"
38,"First Bordeaux in a while to truly dazzle me! The nose is so beautifully displayed; currants, truffles, creme de cassis, pencil shavings, licorice and hints of strawberries. The tannins are there but they are gentle and sweet; fruitdriven yet so refined! Cassis, blackcurrants, vanilla, lead, cedar and lush ripe plums. This is already a dream and will be a blast for decades!"
39,"Blend of 65% Cab Sauvignon, 30% Merlot & 5% Petite Verdot. A wonderful wine with ripe fruit, floral and spice aromas. Cherry, plum and currant flavors with a nice mineral edge, creamy soft tannins, lingering finish ending with a earthy mineral tang. Age worthy! Very Nice!"
40,"My 6️⃣0️⃣0️⃣th rating, #39/40 in the UGCB Bordeaux 2015 tasting and one of the absolute 💫s of the evening! When walking to the Pessac stand two guests, separately from each other, adviced me to try Chevalier. Absolutely complete and balanced with all assets in the right place. Deeply concentrated full blown fruit aroma’s, velvety, beautiful acids and looooong 🎯."
41,"Tonight we're only drinking one glass :) but what a delicious one. Dark berries, tobacco leaves, flowery notes, super fine tannins and beautifully integrated oak. Decanted four hours and getting better and better. Will easily go another 15-20 years. Cheers!"
42,"SG+HK Vivino Gathering March 2018 Starring: Wine Affair, Chin G + Fiona Kwong A fully matured btl brought by Kevin Leung Tasted blind; B'dx tumbler used; med garnet hue w/tawny bricking rim; warmly red capsicum on entry along w/incensed berries fruit Med. weight w/finely balanced mouthfeel + totally evolved tannins finish Uniformly classic claret More on harmoniously structural side, seems Cab. dominated My guess was 85' St-Jul Beychevelle"
43,"What a beauty this is, probably my favourite white Bordeaux. Precise acidity frame its ripe apple, lemon, green herb fruit core with lovely mineral, oily texture. Impressive flavour intensity and length. Love it."
44,"Grapes: 66% cab sauv, 28% merlot, 6% petit verdot 18.months barrique (60%new) At nose is complex , tobacco, plum, cigar box, blackberry, black pepper, mushroom. In mouth is powerful with an excellent acidity and perfect tannins. Juicy and rich. Ais Milano masterclass Bordeaux 2009"
45,Smokey/flinty blackberry with pencil shavings. Sweet berry palate with mild tannins and medium finish. Quite nice! 65%CS 30%M 5%CF
46,"Deep red. Lovely complex bouquet. Blackberries. Elegant with integrated oak. AC Pessac-Leognan. 60% CS, 35% Me & 5% PV. 13.5% alcohol. 100€ retail."
47,"Magic wine At first, when smelling it one might think of an old champagne where the bubbles are extremely fine. Complex wine."
48,"Really smooth, with oak and vanilla, tasted after the 16 interestingly which showed the difference in tannin and acid levels. Tasted at the chateau"
49,Restrained aromas of cherry and raspberry still dominates in this magnum. Fine grained tannins. Lacks only intensity on the nose.
50,"Nose of caramel, dried fruit and spices, quite complex. Tannin is medium, fruit is balanced with acid and tannin. Very elegant with coffee flavor  "
51,Perhaps some bottle to bottle variation here. A bit more minerals compared to the ones we tasted on the past. Still very lovely
52,4.4/5.0 wonderful ripe and succulent red fruit. Cinnamon and light oak. This 2012 is starting to come into its own - could hold even longer.
53,"Duft av lær, like well worn Docksides shoes 👞 Still fresh and alive 24 years old Bordeaux. Fantastisk til reinsdyr. Språkforvirring 😂🍷"
54,"2016 En Primeur (tasted 26 May 2017) - Quite ripe, solid black fruits with some herbaceous notes, spicy, mineral, well balanced."
55,"Earthy mineral, fruit feeling, moist leaf mold, nuances of tobacco. Fascinating aroma. Smooth and silky tannin, taste is medium.Delicious!!"
56,That was the last bottle 😕 A nice ⛅️of old-tones (aka the leathers etc) combined with a surprisingly youthful long 🌊 of red fruit in the 👄
57,"Lot of structure, freshness and verticality still there. A perfect drink with steak. Close to its peak, will go for another decade."
58,"blackcurrant, pepper, blackberry, leather, oak, pencil shavings, plum. Fresh acidity, powerfull tannins. Dry long finish. 90-92"
59,"Wonderful mellow notes of cedar and fruit pie, smooth and supple, entering its drinking window but will probably still get more complex!"
60,"Superb. Great structure, Cassis, plum, blueberry, black currant, leather, mocha, mint, earth. Silky tannins and good acidity."
61,Pale yellow color with delicate nose of high end perfume chestnut and rose. Well balanced body with taste of jasmine citrus vanilla and rose.
62,"Beautiful Chevallier! Deep claret colour. Stewed fruit, plum nose. Prune and dates, tobacco leaves, very beautifully subtle characters. Super finish!"
63,"strawberry & prune on the nose, brown tinge in color...certainly turning, but still holding up, light palate, raspberry, dryish finish"
64,"Really great - the right amount of fruit, soil, oak, smoke all coming together. Balanced tone, great nose, right amount of lingering barnyard."
65,Dried fruit and cassis on the nose then blackberry with tobacco leaf and some crushed rock. Hint of vanilla. Robust throughout
66,dd12 casis plum sweet wood spices nose palate big intense forest floor leather tobacco chocolate firm grippy tannin mineral nice acidity backing.
67,Full bodied and powerful but surprisingly approachable even straight out of bottle. Strong black fruits and hints of chalk and stone.
68,"Purchased in France during trip to Bordeaux. Really enjoyable. Decant for a while, opens nicely. Smooth, right amount of tannin with structure."
69,"Prefer to example of a great Pessac-Léognan, worth waiting for 35 years ! Great finesse, subtle fruits and tertiary characters"
70,"Medium gold in colour, pronounced intensity, dry, medium + acid, full body, long finish. apricot, peach, honey, nutty, caramel. Outstanding wine"
71,87 is always not a good year for Bordeaux red. But this was way better than expected. Would not have expected it to be of this vintage.
72,"Barnyard. ‘Interesting’ on the nose, thick in the mouth, stunning flavours of oak and tobacco softened by blackcurrants. Absolute classic."
73,Surprisingly still alive and kicking. Probably one of the better Bordeaux Blancs produced ( next to HB Blanc of course). 92 points.
74,"Open up a bit since barrel tasting, still has a long way to go. Can’t tell how exactly it will develop but definitely getting better and better."
75,"Light to mid gold. Popcorn aroma. ..buttery, ripe stone fruit, toasty , a hint of straw and full body. Mid to long after taste...very impressive"
76,One of the best value Bordeaux in my opinion. Exceptional wine all around - rich smooth creamy mouthfeel and wonderful finish :-)
77,"What an excellent red this was! Super balanced, soft with nice touch of oak and blueberry on the palate. Nose has some tobacco and vanilla"
78,"A really fruity and silky vintage. Medium+bodied with notes of graphite, blackberries, black currants and spices. Quite multi-dimensional."
79,"Fantastic nose of tobacco, dark chocolate, ripe plums and cooked dark fruits with sweet spices. Palate good acidity with ripe smooth tannins."
80,"Really soft and well balanced. Showing plum, blueberry, cedar, leather, black cherry, baking spices, blackberry and light earthy finish."
81,Very smooth a wonderful aroma and taste of dark fruit. Soft tannins and s long lasting sensation on the palette highly recommend it
82,"Liquorice and soft oak and vanilla. Most of the fruit has gone. But wonderfully soft in the mouth. Good finish, but I expected more."
83,"Brilliant of the Graves! Dark ruby Nose - sweet berries, plum jam Smooth, good volume, tannic, tart Cherry, plum jam, berries"
84,"4,1 from Magnum, earthy elegant, dark, good refinement, quite safe, tannins nice mocca, good finish, not greatest wine but well balanced"
85,B+ (silky dark fruit back w/ excellent structure. Delicious!)
86,"Deep red. Complex. Layers of layers; cedar, cassis, leather, black berrie, blue berries. Full bodied, balanced structure, integrated tannins. Long. Lovley! 93/100."
87,"Hi acidity n med body, very elegance showing lots if floral, honeysuckle, ripe stone fruit and minerals, subtle use oak bring round and softness, lingering long finish."
88,"(barrel sample tasted June 2020 - ****+) Seductive drinkability. Smooth and fine tannins. Blueberries, brambles, floral notes. Minerality. 65% CS, 30% Merlot, 5% PV."
89,"4.3 Drinks like a proper GCC. Concentrated blueberry and cassis fruit, lined by cherries. Nice bit of barnyard on the nose as well. Lovely chewy tannins."
90,"A classic domain with traditional blend of 66% Cabernet Sauvignon, 28% Merlot and 6% Petit Verdot. Chocolate, blackberries, oak, leather & nutty licorice. 4.25+"
91,4.5 French Bordeaux from left bank. Not much fruit on the nose and is dry. But the impressive part is how it grew after 1.5 hours breathing. It transformed the wine.
92,Love this wine ! Floral notes on the nose with elegant balance and such finesse that it is like a flower blooming. Great palate with sweetness and a nice finish !
93,"Hayday is not yet come for this wine but really good. Slightly tannin, requires time to breathe, at least one hour. I am used to drink too fast. Bad habit!"
94,"Surprising alive. The DBM format must have helped. Pronounced nose of tobacco, coffee, leather with red berries. Complex, well balanced with med+ length."
95,"4.2 - Taken at the Painswick Hotel on corkage from Huntsworth wines. 88. Fairly structured, complex, quite tannic. Cassis & blackcurrant & leather & not much else."
96,Is a punch to the nose but not the mouth. It needs something marinated with a lot of herbs or spice to withstand the full frontal assault to your odiferous sense.
97,Medium bodied and grew and grew in the glass. Berry ruby fruits and a good thinking wine. Will be better decanted and 10 years from now.
98,"A silky Pessac Leognan with notes of scorched earth, tobacco leaf and black n red currants. Complex aromatics are followed by a savory, expansively flavored wine."
99,"Golden yellow, strong minerality and terroir. More open now then in dec 2018. Some butter, vanilla and biscuit. Banana and peach. Really nice and special."
100,Agree with Dan West on this one. Super soft and well balanced. Little smoke and leather combined with some dried red fruit.and black cherry.
101,This wine is beginning to show it’s true form. It has plum and blackberry with minerality to show the layers. Sits around 4.3 but in right setting will do even better
102,Dark and opulent ruby in color with floral and lead on the nose. A velvet and chocolate palate with a pleasant finish. A great effort that is ready to drink now.
103,"@ Cru tasting. Always one of the best wines of the tasting and usually the best QPR. Lots of flavour, vanille, rich fruit and so well rounded. Lovely wine."
104,"Smells like heaven. Tastes like earth. Did well to let it breathe awhile to get the best of it. Not cheap, but spoiling ourselves in the festive season."
105,"Fantastic rich nose of cassis and oak. Palate is long and dark, lots more blackcurrant and cedar and a touch of vanilla. Lovely long finish - really drinking well now"
106,Delicious Bordeaux that is drinking beautifully now. Black fruits with notes of leather and smoke. Time has allowed for well integrated tannins. Fantastic.
107,Commanderie de Bordeaux Gala in Royal Savoy - Lausannes - November 2018. This had a nose to die for. What a wine. Had with cheese course. It performed really well.
108,"92-94pts. Still youthful. Lemon-tart , green apple and a bit of exotic flavour. Its a fine version with a ripe touch. Brilliant balance. Still improving."
109,"Deep, balanced, butter, brioche, some ham, wet stone (if you ever licked one :) ). Works wonderfully with meat! Quite a treat although of course pricey!"
110,"Tasted after the 1985. Same earthy, tobacco and dark berries emerge but this wine was just slightly over its prime. Great bottle nonetheless but drink now."
111,Very good wine in a great vintage. Rich and full of flavours. Very pleasant to drink already and a good wine that is for sure developing further in the future.
112,"Whew! Lovely lift on this wine. Cedar cigar box, black fruits, and awesome balance. You really can feel the acid keeping this bright. Very drinkable even young."
113,"93 p. Slightly maturing hue. Some smoky notes, red berries, peppers and wood. Very fine balance, elegant, with good fruit and a long finish with medium grained tannins"
114,"Black olives, leather, eau de cologne, red beet, grilled aubergine, turkish delight, plums, Add the equilibrium of a top class great wine. Delicious !"
115,Bought 20ish years ago to celebrate the birth of my baby sister! Worth the wait. Imagine a leather bag filled with red fruits. Enjoying every sip! Wow!
116,"Nosing: full intense fruity smell. Unbelievable Taste: oak, herb, cigar, leather, tobacco. Wonderful Full bodied. Amazing wine! 09 is way better than 10."
117,"Deep ruby. Aromas of dark plum, blackcurrant, Vanilla, roses, cedar. On the palate bone dry, high ac, med/ high tann. Dark plum, vanilla, hint of mint. Long. Med./ full body."
118,Pretty good wine. Typical Graves style. Velvet on your tongue. This wine needs 2 hours to breathe. Added to my shopping list.
119,"4,25 God bless a vintage like 2000. This is full of fruit but evolved into an elegant mix of dark cherries, wet floor, leather and green leaves. Profound and balanced. Not bomb"
120,"This Pessac-Leognan shows the typical flavour profile of blackberry, dark cherry, leather and oak, with hints of green pepper and pencil shavings. There is a beam of minerality on the long finish."
121,94 pts. Out of a double Magnum. Pale Ruby red. Developed nose with a bunch of fruits and fresh mushroom and a bit of whit truffle. Full body with soft tannins and medium to long finish.
122,Rounded and integrated. Restrained power goes on forever. Beautiful length and plummy notes. Drinking well in 2013. Can only get better. Decant and give lots of air. Tasted Nov 2013
123,"Elegant. Oak, smoky, pears, long finish. Good value. Didn't perform as well as the 1995 or 2009, sulking a one would have said, can try to have it again one for each of the next three years."
124,"Love this Chevalier 2000 a lot. Floral, red fruits, forest floor, earthy, wet stone, chocolate. Silky tannin and well balance. I start falling in love with Pessac Leognan!"
125,"Great wine. Red berries, nice oak, leather and maybe some vanilla. Smooth taste. Believe I can taste that famous mineral note too. Fine tannins. Looking forward to drinking this wine again."
126,"Explosive of flavor on the nose including blackberry, tobacco, leather with hints of floral. On the palate, well balanced structure with fine tannins. Brilliantly long complex finish."
127,Ripe fruits overwhelmed the nose. However the palette didn't match the nose in the maturity of fruits. Looks like it needs another 10 yes of btl age to bring out the full potential.
128,As expected. Super smooth and perfectly balanced. Needs an hour at least to open up. Beautifully full bodied and rich with notes of cassis and plum. Paired well with a ribeye.
129,"Dark fruit, tobacco, vanilla in a glass. Double decantered and left for an hour, sensational but my guess is will be even better in another 10 years.....now where did I buy this, I need to buy more"
130,"Eye: noble ruby with cognac rim snd long legs. Nose: countryard, red fruits, shade of cedar. Palate; balanced, but with high citricity, full to medium body, good long aftertaste."
131,"Vibrant flavors of crystallized lemon peel and pungent white flowers, currants, honeyed citrus, fig, and crushed rocks. Finishes very fresh and long, with impressive energy."
132,"No tasting notes, just stars Recently I tried 1999 and could say this is 1998 also in a perfect conditions . Resume: excellent, on its peak now and 5 years more I think. Pro Wein 2018"
133,"EP sample. Bright garnet. Fragrant and floral nose of violets and purple fruits. Quite dense palate, intense but not too weighty, purple fruits-dominant, balanced, fine, very very long"
134,Tobacco minerality wet earth Black fruits Iron shavings sublime balance integrated tannins and long aftertaste. Very good to drink and likely to improve a tad bit more with 5-8 years of cellaring
135,"A thrilling Chevalier faring much better than its status. Pure and elegant with nice complexity. Fully mature with earthy notes but still plenty of fruits. Very long, with a nice balance."
136,"Amazingly fresh taking into consideration of 1992 vintage. Good structure and still refined acidity, I love those Bordeaux wines that really call to be a wine with life."
137,"Pale straw colour; vanilla, grapefruit, lemon, clean; almonds lemon and lime, honey, smoky, salty, 13%, mineral beauty, great with our Easter crab!"
138,"Drinking beautifully. Oaky nose with some lead/pencil shavings. Palate was an explosion of fruits, mixture of red and dark berries. Medium finish, absolutely at its prime now."
139,"Unbelievable, feels like licking a ripe peach. Acidity handles the heavy oak with no problem and creates a delightfully complex dried fruit aroma with notes of mild fizzy pineapples on the tongue."
140,"very enjoyable, not pronounced aroma, fruit with hint of spice, extremely balanced and flavoured in mouth, fine tannin, little mineral,little spice,major fruity flavour, smooth texture, good length"
141,"👀 light purple color 👃🏻 Cherry and raspberry with some great secondary notes of chocolate and mushroom 👅 Light dry wine with little tannin and medium acidity, short finish and low intensity"
142,"Delicious. Nice aromatics and grippy tannins. Still young and powerful but enjoyable now. Looking forward to try older vintages. Strong alcohol, notes of chocolate and dark fruits. 4.4"
143,"Dark ruby colour. Cedar, forest floor, pencil, black cherry and oak nose, Incredible, mellow, intense and well balanced palate following the nose. Super smooth long lasting tannins on the finish."
144,"Quite complex, potentially another year or two to unwind? Its slightly tart, big jammy fruit and a lengthy finish. Its quite pretty and as always, a great representation of the region."
145,So smooth and butter filed. Has a great tartness that is refreshing and great with lobster or fried seafood. Very complex and a total treat for anyone that can get a hold of this.
146,"Was able to taste at Wine Spectator Grand Tour. Didn’t take many notes, but remember the distinct earthiness on the nose and palette. The tannins were oh-so smooth, and soft yet nice finish."
147,My favourite tour when I visited Bordeaux. I managed to buy a vintage of 1999 when I was there. This wine was bursting with passion after one hour in the decanter every sip felt tantric.
148,"Young but pleasant to enjoy. 30 minutes decanting is required. First acidic and tannic, but later smooth and sweet coming from Merlot. Shy below 4/5."
149,"3.75/5 Usually a big fan of Chevalier, this 2004 was a bit closed and did not open nicely. We had no time to decant or let it breath though. Toasted coffee bean aromas and dark fruits"
150,"Vivino Gathering. #8 Back to the barnyard again! In a strong way. Luckily there are good levels of mushroom, wet earth and spice to make it sophisticated. A small four star experience for me."
151,Quite shy and reserved on the nose to start but really opened up about an hour later. Would have been better if decantered. Comes from a perfect vintage. Chalky and tabaco. Another 5 years at least.
152,"Displays floral, blackberry and mineral aromas, with a hint of fresh tobacco. Full-bodied, with supersilky tannins and a long, caressing finish. Has a fine, polished texture."
153,"Ruby, no signs of brown. In the nose blueberry and red fruits with chocolate and coffee and leather notes. The first time I get the idea what pessac leognan stands for."
154,"Such a beauty! Nose was complex with cooked black fruit aromas, black pepper, eucalyptus and coffee. Full body, high tannins and M+ Acidity. Nice spices, cooked black cherry and a long finish. Outstanding wine!!"
155,"An outstanding Graves, fully mature, with sweet tannins, a long aftertaste and excellent balance. Slightly earthy, with a cassis backbone."
156,"This is the most collected white wine from Bordeaux left bank. 2012 was indeed a very difficult vintage for Bordeaux in general, but in fact a fantastic year for white grapes. 70% Sauvignon Blanc, 30% Semillon, barrel fermented, 30-35% in new oak for 18 months. Appearance: pale lemon Nose: call it a toned down Sauvignon Blanc, pink grapefruit, passionfruit, subtle oak hints, toast, vanilla Palate: wonderful texture, body, longevity from Semillon, stone and tropical fruits Very long finish!"
157,"Clean clear wine with a deep Ruby core, thin rim and medium+ viscosity. Nose of black fruit aged leather and cedarwood. Quite aromatic on the nose. Palate is dry with medium acidity and med/med+ tannins. Excellent length good depth and structure. A little hot on the finish but a great bottle nonetheless."
158,"3 hours in the decanter. Brick red. On the nose, mushroom earthiness, tomato, dust, cedar, mint, maybe rosemary, black pepper. On the palate, currant, tannic pomegranate, leather. This is a really fun wine with lots of interesting notes and complexity. With each taste, you find something different. I enjoy Chevalier even on the young side with its bracing acidity, but it’s equally interesting 21 years old and I can even see holding it for a few years more."
159,"Excellent aged Bordeaux. Nose: vegetative funk, black cherry, leather, tobacco, vanilla. Palate: Black cherry, black currant, subtle red fruit (cranberry crossed with strawberry but gently on acid), earth, cedar. Elegant, smooth, balanced and layered. Beautiful now, with Chateaubriand, bone marrow gravy and truffle chips. Nov 17"
160,"Odd year 1992 bought for 20 euros,a bargain for a great wine in a poor year. Brown color, fruit is escaping and acid is becoming more dominant. Still elegant, with refinement, and a nice bouquet with plum and dates. A pleasure to drink! Very recommendable in 92 if found at a good price. Should not be stored longer, drink in 2016."
161,One of my favorite red from Bordeaux Grave area. When uncorked the room emmidiately fills up with bright fruits and floral aroma. Color is medium dark with crisp mineral as first impression followed by quite solid tannins and fresh cherry notes. Goes really well with dark chocolate bites!
162,"👁 purple/garnet 👃🏿 black and red currant, plum, baking spices, vanilla 👄 medium + alcohol, medium acidity, supple high medium + tannins, full body 📝 a delightful wine and shows the great potential of 2016 Bordeaux."
163,"Vintage 2008, tasted oct 2017, decanted 2 hours. Full, complex nose with a mix of dark and red ripe berries, blackberry, cassis and raspberries come to mind. Also light tobacco, forestfloor and smokiiness. Very profound. Med - full body is balanced with well integrated fine tannins and perfectly tuned acidity. Very well composed and elegant, a real joy. Drinking very well now, and will get better still."
164,"Second time trying yet remarkably impressive like my first try. Strong and overt vegetal character (spring onion) whilst first poured in glass. Need 10 mins in glass for the rich creamy oaks to unveil. Ripe tropical fruits also start to appear: very ripe pineapple and almost smells like a piña colada! On palate rich, Complex. Lovely creamy oak dominating most parts, then later transited to its herbaceous core. Expressive and such a pleasure to drink."
165,"Old chevalier, but just on its peak!😍 elegant and excellent! Medium gold. Nose is pronounced apricot, mango, dried peach and nuts. Palate is medium + acid, medium body, dry, long finish with little minerals. Great balance, round and smooth!"
166,"Wine is clear,brightness is day bright, medium straw color, edge is pale straw color, no gas, no sediment, viscosity is moderate +. Aroma is clean, lemon jest, grapefruit, white peach, vanilla, toast, roasted almond, mineral, acacia butter aroma. Dry, medium + body, medium + acidity, nutty body texture, medium alcohol, medium + finish, complexity is moderate +."
167,"Very good, nice quality Cab and Merlot blend. Dry and intense flavors of blackberries, blueberries, black cherries, black plums, chocolates, cinnamon, cloves, black olives, vanilla, toast, prunes. Pleasantly integrated acids and rounded silky tannins. Full body."
168,"Really lovely creaminess and rounded flavors. No sharp tannins, delicious leather, oak, and an older Cab flavor. Excellent value and after minimal decanting, the wine easily opens up to fuller and creamier flavors. Extra half star."
169,"The wine that turned me onto Pessac whites of which there are so many fabulous examples! This one is still too young but enjoyed in St Emilion on sample. Mid lemon in colour with a bold and pungent nose full of tropical notes including pineapple, passion fruit, as well as creamy citrus lemon curd. A refreshing and bright palate with plenty of juicy fruit but the finish wasn’t quite as long as hoped."
170,"Deep colour and viscous wine which time has served well. The nose is plummy and almost cold cigar like. Forest fruit, low acidity and alcohol level makes this 16 year old Pessac super smooth and silky on the palette. Lovely stuff"
171,"On the nose the wine has a lovely perfume of ripe dark red fruit, spice and toasted oak. The wine is very well balanced, round and elegant. In the mouth the wine has fresh acidity and fine ripe tannins. 94-96"
172,"Interesting nose here, almost ""Rhône-like"" to me, that meaty, smoky bacon and spice thing. On the palate juicy fresh, nice dark dried fruit, very smooth fruit, lots of coffee and quite some vanilla oak. Tasty!"
173,"Ruby, slightly dim. Perfect brick rim. Quite viscous. Swimming pool, herbs, stalks. Quite small nose. Acidic attack grows to big body. Tannic finish. Lingonberry. Very long. Grows with food and airing. Perfect maturity. Very good indeed."
174,"A 2009 Pessac Leognan Gran Cru for a Saturday night dinner. A demanding character with a sophisticated disposition; a true French. The flavorful notes are subtle yet abundant. Black cherry, chocolate, and tobacco feast the palate while the tannins for this eleven year old wine is balanced along with the alcoholic level. The acidity is controlled and certainly French. A great wine!"
175,"Lovely purple color medium intensity; fragrant aroma, sweet fruits with earth, tobacco and mineral; fresh acidity together with silky tannins, very classic Pessac-leognan but round. Long mouth fill finishing"
176,"Superb, rich and elegant. Dry with medium acidity and medium to full body. The tannins are ripe. Notes of Black and red fruits, hints of tobacco and leather (staring to develop), cedar and subtle oak. Long finish with hints of spices. Complex yet structured and subtle, this beauty will continue to blossom and will develop beautifully."
177,"I think this wine is a little pricey, however this is a great wine. Medium. Body, great nose, white peach on the nose and the palate. Not great lasting but it will develop greatly in an hour. If you have the opportunity to try it!"
178,"With 3 of my top 10 wines (to date) coming from this vintage I am hopeful of this chevalier which I’ve had many vintages of but this the oldest. Immediately seals the deal on the first sip much better than the other vintages I’ve had. Medium garnet with tawny edges, dried fruit and forest floor aromas. On palette, dry, medium - acidity, medium body, medium - tannin, dried cherry, cranberry, mushroom, pepper and vegetal notes. Finish is long and satisfying. A triumph and definitely with life ahead! 4.25+"
179,"Bought this bottle at Idealwine auction. We like a lot this domaine, but this one was below our expectations. The color is surprisingly not dense. Strong aroma of bell pepper dominates nose with additional notes of red fruit, particularly cherry and raspberry,chocolate, hint of vanilla, wet stone. On palate (in accordance with the color) medium bodied with hints of tannins, bright acidity and very good balance. Red fruit and fruit punch, cherry, strawberry, raspberry, vanilla, coffee, long aftertaste. 3.8🌟"
180,"A well balanced SB, with ripe and medium intensity of pear, apple, white peach , floral , toasted almond and vanilla. It has good acidity, balanced by the ripe fruits. Finish is medium, or plus, just lacking some weight on the palate."
181,"Beautiful mature bouquet, with all the right elements there, cassis, tobacco and cigarrbox. Very good for the year, red berries, quite soft tannins and lots of power. Aftertaste a little short, but wonderful."
