,0
89,Cherry fruit aromas! Very nice integration of oak tannins. Fantastic wine! One of my favorites!
90,Very complex Simply fabulous
91,Heavenly smooth and deep. Luscious and ready to drink.
92,"Already starting to turn. Brownish color, but still not too bad. A little vinegary, but after an hour or so it drinks okay. A little dusty, with cherry, tobacco, and oak flavors."
93,Just seeing the color and taking in the nose I was excited to sip this. The nose just felt balance with good black fruit character. On the palate the balance was so inviting. Dark blackberry and black cherry with a toasted oak and a slight tobacco quality.
94,"Sebastiani Cherryblock 2002 ""Mineral, bold black fruits, cedar, creamy, chocolate, smooth tannins, full bodied, medium finish."" WC 94 Points Date tasted 2.7.25 Drink now through 2021 Price: $70 Alc: 14.4% Varietal: Cabernet Sauvignon Distributed by Mendez & Company"
95,"Bright and juicy Cab! deep ruby color; on the nose dark cherry, teaberry, menthol, leather, talc and spice; on the palate medium+ body, medium+ acidity, round; flavors of black cherry, root beer, minerality and tobacco; fine grained tannins; pair with Honey Baked Ham. 91+ pts"
96,"So we failed miserably! We tried really hard but our dry January is over. How can you eat a nice filet steak and not have a glass of red to wash it down? Wine was very good, fruit forward but still some depth. Not sure I would buy it again but still after 18 days without wine it was very very nice!"
97,"Such a deep red! So seductive in the glass, with dark berry and cedar nose. The deep berries continue with the in the mouth and lead to rich fruit flavors and firm tannins. Doesn't get much better for a cab!"
98,"Wow, ""cherry"" block is right. Very very cherry, thin, dry. The bottle I tried had quite a bit of sediment. Not sure if that is to be expected."
99,"Big wine, slow to sip, pretty purple/dark red color, taste a slight tart cherry although flavors vary throughout the sip. Very smooth. Not your typical cab!! Way better :) I’m not a cab person"
100,"Cherry block simply never disappoints. Love the oak overtones, a little cedar. A vanillin sweetness hits the tongue followed by cherry, black cherry notes and a hint of spice."
101,Amazing tannins and delicious fruit.
102,"An excellent wine. You get a little bit of vanilla, good red fruit flavor. Good peppery warmth as well."
103,Has that bold Aroma of a full cab - but finishes really smooth with hints of a woody almost soft tobacco base. The best wine I've had this year - full disclosure this is about double the $ I normally drink - gift - love my friends! Would pay for this bottle again.
104,Outstanding wine! I just had a bottle from 1999 with friends last night and except for a very dry cork the wine did not disappoint! Full black cherry on the nose with hints of chocolate ! Absolutely smooth and outstanding!!
105,Drinking beautifully. Aged very nicely
106,Wonderful wine. For grownups
107,"Deep notes of cherry, smooth, oaky, love it!"
108,I hear that this is a really old vineyard with old vines. Some cherry.
109,"Very nice. Light on tannins, easy drinking. Full bodied, luscious mouth feel. Dark cherry..."
110,Great and going strong
111,"A really great wine. it needed to becanted for about an hour ahead of time. Smooth, great nose. Perfect! Thanks Pat and Harvey."
112,"Their best cab, top of the line Sebastiani at its best!"
113,"Chocolate, cherry, amd full body. Quite the delicious pour"
114,One of the smoothest cabs I've tasted...deep cherry bouquet makes for an excellent way to spend your Saturday night!
115,"Wonderful quality of the grape comes through... brambles, vanilla... delicious and velvety texture."
116,"One the the best wines I have ever got my hands on! Smooth dark cherry greatness, with a long plum attitude finish!"
117,5 stars does not do this wine justice. I would rate a 10 if possible. One if the best wines I've ever drank.
118,'12 & '13 are amazing. Fell in love with Sebastiani this month when we were in Sonoma for my birthday. Cheers..
119,Very nice cab. Nice on the nose. Smooth and rich. Not too heavy on tannins. Rich notes of dark fruit on the palate.
120,Dark Ruby in colour aromas of dark to black cherries cranberry and cassis the flavours are bold lncluding black cherry on first taste the finish is lengthy with cola berry and vanilla medium bodied the wine closes with smooth tannins and a nice acidity great just alone but with roast bbq beef also
121,Smooth and fruity
122,Holy yum. Thick and delicious
123,"Supereleganter, filigraner Napa-Cab"
124,"Juicy, tart, dry finish"
125,Holy moley! This thing was in perfect condition. The fruit was still present but shows notes of leather and tobacco and old book pages. What a treat! Still singing of tart cherry.
126,"Just amazing. Cab with perfect blend of fruit, tannin and oak"
127,"A lovely, well balanced wine. Long lasting on the palate, if not incredibly complex."
128,Sweet. Wonderfully refreshing
129,All time favorite
130,Dark ruby red color....very velvety taste...some tannins in taste.....good wine
131,"Very smooth, great length and red fruit flavors. A little too smooth for me, and expensive."
132,"So incredible, worth it every time!!"
133,Fabulous for being 9 years old and can still be great for the next 10 years!! Wow!
134,"Smooth, body, in the dry side. Beautiful"
135,This was one of the best ones I’ve had in several years it was very smooth and not to dry
136,Excellent wine. One of the best Cabernet that I ever had if not the best
137,"fruity, cherry, vanilla (nose), round, nice acid"
138,"Bold , slightly dry but after opened and swirled,tastes fruity with notes of berries"
139,Amazing wine! Worth every bit of the cost.
140,Very tasty wine
141,"Nice , pairs nice with grilled steak. Very full rich hint of cherry , pepper and earth"
142,Better than silver oak!
143,"Deep, full bodied, fruity"
144,"Rich dark fruit flavor, low tannins. A great wine."
145,This was in the cellar for 12 years and it did really well. Great body!
146,"Great for Mother's Day. Balanced, velvety fruit."
147,Awesome. Fruit with even tannins balanced
148,"Tart cherries, plum"
149,Smooth & Fruity
150,Amazing wine! Wedding present from my parents in 2013. It was perfect today!!
151,Even better than the 2008.
152,"Smooth, smooth, smooth thru past finish"
153,Delicious in a word. Rich with hints of cherry.
154,One of the best cabs I’ve ever had!
155,"Dark chocolate, smoky notes. Smooth and delicious"
156,"Big legs, strong but smooth cab. Great wine but maybe not for the price."
157,"Light hints if cherry, fruity but mild. Has a bite but not too dry. Highly recommended!"
158,Very round and balanced
159,"An elegant Cabernet, smooth and pleasing on the palate"
160,Very smooth full bodied cab. Excellent.
161,Incredible! Smooth and rich with just a bit of tang.
162,Enjoyed this at the Sebastiani tasting room in Sonoma over New Years weekend 2016-2017
163,"Great taste, fruity, slitly dry, great fr that special occasion!"
164,Gigi Christmas gift. So smooth no weird aftertaste. Amazing.
165,Rich in berry flavor and deliciously smooth.
166,Smooth. Amazing. Lynn shared.
167,"Sumptuous smooth tannins and deep black fruit with hints of leather, cocoa and cedar."
168,Best wine I tasted in Napa or Sonoma
169,"Very smooth cab, not typical Sonoma. More in the style of Staggs Leap District, Napa."
170,Very drinkable already but will likely age as well. Amazing.
171,Delicious right out of the bottle. No decanting needed!
172,One of the best Sonoma cabs I’ve had. Hands down
173,This in an impeccable cab. Red current and plum notes with a peppery finish. Smooth and flavors of dark rich fruit remain on the tongue begging for another sip :)
174,Just ok. A lot better wines for this price.
175,They had a buttery Chardonnay that was delish!
176,One of the smoothest cabs I have had to date. Cherry and oak with hints of earthy gravel. Full bodied and very rich fruit flavors I image this will remain the same through 2028
177,"Concentrated chocolate and liquorice spice. Strong core of dark red fruits, cloves and beefy tannin.Still youthful but drinking seriously well now if you don’t mind a bit of chewiness. Boom! Love it!"
178,"Amazing wine with a smooth, subtle cherry essence that makes it the most incredible wine."
179,"Allspice, Cigar box, lovely finish"
180,"A very good cab. Not as full bodied as some that I enjoy but very balanced and smooth. Decanting not needed. Open, drink and enjoy."
181,Decanted for 1 hour
182,"Big fruit bomb! A little tannic right now, but plenty of luscious raspberry and apple cider pouring through, and a lingering finish."
183,"Very good wine. Smooth and low tannins, but not as much fruit as the Dunn’s or J D Danials"
184,Took a good friend out who loves Sebastiani Zinfandel. We loved this special 2015 cab Sav It has the complete range of bursting flavours in the palate. Leaves a long ripe cherry bouquet as you savor the fragrance of this complete red wine.
185,"A lot of fruit on the front end and settles into a velvety, ruby red wine. Doesn't live up to the price but a great 4+ wine nonetheless... Gimme $30 back and you get 5 stars from me. Cheers!"
186,Expected a little more action.
187,Really really one of the driest reds I have tasted surprised me was well cellared. Flavor was subtle.
188,We love Sebastiani and based on the reviews we were expecting a WOW moment but unfortunately it fell short of about everything. It was good but not worth the price. I hope we had the bad apple.
189,Another amazing aged wine.
190,Chewy. Dark purple. Sweet start nice finish.
191,Very smooth with notes of oak.
192,"Really unique cherry essence, present without tasting artificial"
193,great wine suspect it will continue to improve over the next few years
194,Very smooth perfect with a good filet
195,Surprisingly great with hot pot!
196,Smooth and delicious
197,Drinking really nice right now.. Dark cherry very nice body and not jammy.
198,Bottle from 1986. Never opened anyone know what its worth now in 2021?
199,Oh yes!!! Pair this baby with a ribeye steak ... Mmmmmm!
200,"Very nice wine, well balance. cherry oak blackberry. But, it's little too expensive."
201,Very smooth with lovely notes of oak and cherry.
202,Wagyu beef steak dinner and Cherryblock 2012 is heaven.
203,Superb. Silky smooth. Wish I had more.
204,"Smooth, but full bodied. Actually a cab blend with 12% merlot and 3% Malbec... worth the price!"
205,"Great, light red, tannins"
206,Great value. Bought for $18. Tastes great. Smooth. Dark
207,Great wine even better since I drank it for free
208,Full flavor yet light in taste
209,Fabulous bouquet...excellent raspberry tones.
210,"Full bodied, big and bold. A bottle that's takes time to drink and with time it's gets better"
211,One of my favorites. Great with steaks and special occasions.
212,"It Is Quite Yummy!!! Very Smokey, Chocolatey, Tobaccoie"
213,Best Cabernet I’ve ever had.
214,Amazing wine can’t wait to taste it 10 years from now.
215,Great fruity flavor. Good acidity.
216,"Very smooth, bold fruits, nice finish and not dry at all for a cab."
217,"Had Cherryblock (don’t recall the vintage) for the first time at the winery and loved it so much so I joined their club. Opened a bottle for a special occasion last night and wasn’t as impressed. We still enjoyed the bottle, but neither one of us had an OMG experience."
218,Totally underwhelmed by this wine given its reputation and price point. I expected much more. Thin with a harsh finish.
219,One of my favorites! Not available in stores. Can only get through the winery.
220,Deep & soft taste. Great price !
221,Over a little... But nice
222,Nice full bodied cab
223,Will drink this wine in 2020. Bought for special occasion. Has very good referrals.
224,Very good but not a 5 star wine. Lovely finish but something was just not 100%
225,Has a smokey flavor that makes it a little more bold
226,Rich fruity notes and very soft finish
227,Damn....this is good
228,Not bad for a Sonoma Cab
229,Deliciousness!!!
230,Mmh cherry
231,Fruity
232,
233,Graaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaande vinho
234,Esperacular
235,5.0
236,Thuis. Top
237,Chocolate deliciousness
238,4.4 - nej cerveny vino z CA
239,"Samtig, weich mit langem Abgang; eine Wucht"
240,Levou 97 pts de RP! Mais info em www.vinhoscomfernandolima.com.br
241,"Que joya de vino. 3 horas abierto y seguia evolucionando. Buen aroma a frutas negras y tostados. En boca todavia con intensidad en taninos y acidez, final bien largo. Ideal para difrutar con gente que sepa apreciar un buen vino."
242,"Degustação americanos década de 90! Esse vinho que se mostrou bem opulento abocanhou a medalha de bronze da noite! Mostrou cor granada profundo e nariz efusivo em aromas de frutas vermelhas e negras maduras, em compota, notas de ervas, trufas, madeira seca e tabaco. Em boca tem corpo médio, acidez média e álcool presente sem agredir. Os taninos eram bem maduros e suculentos e os sabores evoluídos com forte expressão das frutas, das ervas e notas derivadas da madeira. O final é longo e delicioso. Especial!"
243,Buenisimo!!!!!
244,Vino excelente
245,"Fruity, dry. Delicious"
246,Wow toller Wein
247,Very good!
248,Francois’ #2
249,"4+ Gehaltvolle Nase nach Brombeeren und schwarzen Kirschen, Cassis, holz etwas im Vordergrund, krautig, dichter komplexer Gaumen, mit samtenem weichem"
250,Interesante cab. Le hace honor a su nombre. Notas marcadas de cerezas en nariz y boca. Aún sigue un poco tanico pero la evolución va muy bien. Hay que esperarlo como 5años más.
251,Best wine
252,Ehrlicher Wein. Fruchtig in der Nase. Sehr gehaltvoll
253,"Sebastiani California Zinfandel 2004 Sebastiani Vineyards is gelegen in Sonoma County. Inmiddels staat de derde generatie Sebastiani aan het hoofd van deze winery. De dochter van August en Sylvia Sebastiani, Mary Ann Cuneo, leidt het bedrijf nu. Na ruim 100 jaar wijnbouw en wijnproductie in Sonoma County heeft Sebastiani de perfecte blends gevonden. Deze zijn verdeeld over de volgende ""ranges"", oplopend in kwaliteit: Sonoma County Wines, Appellation Selection Wines, Vineyard Selection Wines."
254,"Excellent vin, bien qu’il ait un goût de chêne il demeure aromatique et souple en bouche, note de petit fruits, robe foncé, gardez en cave depuis 2 1/2 ans et ouvert pour Noël, vraiment pas déçu!"
255,Drinking great
256,Great wine.
257,Fantastic
258,Oh my! @Vtcozy @veeezeee @dreamnetangel
259,Delicious
260,Good. Smooth.
261,Otimo
262,Smooth.
263,Smoky
264,Very smooth
265,Smooth
266,Woah baby.
267,Very nice
268,Peper vol fijn
269,Insane....
270,Awesome present
271,"Fruity, full."
272,Smooth
273,Amazing
274,"Fruity, dry"
275,Badass
276,Wonderful!
277,Tina's fav
278,Jewish
279,Perfect
280,Excellent cab!
281,Da Best!!!!!!
282,Yummy.
283,Juste WoW
284,"Spicy, peppery,"
285,smokiness
286,Fruity
287,It was delicious
288,Outstanding flavor
289,Incredible wine
290,Fantastic
291,"Toller Cabernet Sauvignon. Cassis, etwas viel Holz. Sehr elegant, gar etwas mineralisch, klasse."
292,Spectacular
293,Ausgezeichnet
294,Bombe i munden. God til vildt
295,Excelente Vinho de grande peesonalidade Notas intensas de frutas vermelhas Principalmente amoras e ameixas vermelhas maduras Taninos equilibrados Final elegantemente amadeirado
296,H
297,
298,Bold and complex
299,Loved it.
300,Love it
301,Expectacular
302,Yum
303,Excellent
304,Great
305,Excellent
306,Delicious
307,Great one.
308,Deliciously smooth
309,9
310,Amazing
311,Nice finish
312,Super
313,Awesome
314,Soooo smooth!
315,Fabulous
316,Perfekt til en tartar eller ribeye
317,Love this
318,
319,Nice!
320,Great flavor.
321,
322,.
323,One of the Best cabs in the game bar none
324,"2010 still great in 2021. Lots of cherry, black cherry with hints of vanilla on the end. Not quite as good as 2013 but well worth the wait."
325,"Excellent wine. The tobacco lingers a bit at the back of the tongue, making the wine seem bold while sweet for a cab. Loved it. Such a treat."
