,0
33,"""La canicule"" was dubbed the 2003 Bordeaux vintage, referring to the heatwave and often overripe and not suitable for aging wines. Not so for this wonderful Smith Haut Lafitte, that is drinking perfectly now. Typical Cabernet aromas of cassis, blackberry, blackcurrant leaf, bell pepper, as well as typical aged Bordeaux aromas of cedar, cigar box, tobacco, leather and trifle. Very complex and seductive. Smooth but structured and with a long finish, this is aged Bordeaux as it should be."
34,"A blend of 62/30/6/2 Cab Sauv/Merlot/Cab Franc/Petit Verdot. Aged 18m in 60% new oak. Deep ruby. Pronounced aroma intensity. V. rich & ripe w. plump blackberry, blackcurrant, black cherry, a touch of eucalyptus & opulent creamy oak spice. An underlying mineral earthy note adds elegance. Youthful. Dry. Fresh & ripe w. plush black fruits (blackcurrant, blackberry, damson) & vanilla-infused oak spice, liquorice & mocha. Concentrated, full bodied with high acid, high tannins & a delicious long finish. Superb!"
35,Interestingly a very similar nose to the Charbonnaux we just had with smoke and litchees. But the main difference is that the body is also completely in line with the nose and that is amazing. Rounder and not acid. Random interesting fact: the chateau makes its own barrels!
36,"Chateau Smith Haut Lafite 2005 (TY, CRCLR, JUN19). Deep color. First, outstanding nose of sweet ripe fruit jumping up from the glass: raspberry, black currant, black cherry, blueberry aromas intertwined beautifully with leather, pepper, licorice and forest floor. Harmonious and balanced, good grip, with vivacious velvet tannins. Medium to full bodied. Fresh and complex, with layers of indulging fruits and pleasant lingering finish."
37,"Dates back to the Crusades & Scottish navigator, George Smith, 18th century owner, followed by M. Duffour-Dubergier, Mayor of Bordeaux, then Louis Eschenauer, wine shipper. In 1990, Daniel & Florence Cathiard now own estate. A blend of 62% Cab Sauv, 30% Merlot, 6% Cab Franc, & 2% Petit Verdot. Dark red with dark berry fruit aromas, cedar, smoke and sweet spice. Palate, rich & complex ripe black fruit flavors, oak & cacao. Firm rich tannins, full, lingering, rustic, spice, perfect balance. L-T aging."
38,"Happy National Wine Day to all, the Smith Haut Lafite is simply delicious, at the age of 15 the wine is at its peak with an enchanting nose of: black fruit, black plum, ash, beef broth, baking spice, cedar, cigar box, espresso, earth , medium to full body, with a touch dry well integrated tannins, sublime acidity and a long delicious lingering finish of coffee and earth, my score 93, drink to 2021"
39,"4.3⭐️ Such a consistent producer. The 2016 was mindblowing last year, 2015 very good and 2017 again one of the best in the tasting. Well balanced and highly intens with the characteristic and profound toast note that hazes all other flavours. Cherry 🍒, cassis and bacon fat in a creamy texture with full concentration, definitely compared to its peers, showing already a good deal of complexity. 👏👏 #UGCB2020"
40,"92/100 Ripe Black currant blackberry tobacco leaf cigar box wood earth leather cedar forest floor black pepper brown mushroom wet black tea leaf dried currant and dried plum Med plus body High acidity High firm tannins Med plus alcohol Pronounced intensity Long finish This wine it's a stunning example from Pessac-Leognan, it's rough, rich with a tannicity unperfectly balance albeit with still great structure and character dispite the 17y of age. The wine is on its peak but you can easily age other 5/7y"
41,"4.5 -- Grapes: 65% cabernet sauvignon, 30% merlot, 4% cab franc, 1% petit verdot 18 months barrique (partially new) from their own tonnellerie At nose is complex powerful and rich (dark cherry, plum, herbs, cocoa, tobacco, earthy hints, coffee) with balsamic notes. In mouth creamy, complex, juicy, fruity with rich tannins and good persistency. Perfect for ageing for long Enozioni AIS 2019 Masterclass Bordeaux"
42,"Really enjoyed this £120 Pessac as the fruit was alive & kicking w/ a ton of flavour & aroma showing the true characteristics of the region 👍 4.25⭐️+ so rounded up 😉 🍇 55% Cab S, 34% Mer, 10% Cab F & 1% Pet V 🍷 Garnet ruby w/ brick edge 👃 Stoney, gravelley, sooty, herby smoky dirty earthy dark fruits in leather, mushroom, damp cellar & pencil lead 👄 Med bodied smooth mocha chocky infused earthy dark fruits 🎯 Long dirty earthy chewy mocha driven dark berry dry minerals mouth filler"
43,"Appearance: deep ruby red colour Nose: very expressive attractive aromas of dark fruits, red fruits, oak, earth and minerals Palate: concentrated and rich wine with earthy and fruity flavours like black currant, black cherries, plums, bitter espresso, liquorice It has firm tannins, medium + acidity Very long persistent finish"
44,"This is a Bordeaux you can really sink your teeth into! You get lots of black currant and other dark fruit, with earth and smokey leather. The texture has fine strong tannins with a nice lingering finish. Sitting on my '06...!"
45,"Oh my, this was so nice. This was our top pick of the night, and it beat out other bottles much more expensive. The wine is beginning to come together very nicely and showing fantastic complexity in the nose and body. We both picked up a bit of anise on the nose and palate, which I really like. After looking it up I also found that the price is hard to beat as well at $85 compared to what I found on wine-searcher. Great now, but I can see this becoming even better later."
46,My first 100 pointer and it was great! Unfortunately served after 6 other bottles. No formal notes kept.
47,"From a magnum: chocolate, tobacco, leather, earth, it opened up quite a bit after 3 hours of decanting. Tannins are well balanced."
48,"I love Pessac! Mouthfeel is not as silky as I would want from Pessac, but the fruit is fantastic! Needs another 6 to 8 years!"
49,"So pronounced and powerful of tropical fruit like pineapple, melon, high acidity and linhering finish. Outstanding bordeaux white."
50,In such a perfect stage of its life. Its got that classic bordeaux appeal and my god its trying to flaunt itself. Drinking now- 2021.
51,"What surprise! The difficult 2013 did not affect haut-lafitte if this is anything to go by. Full of fruits and silky smooth, simply a stunning wine"
52,🍷 Bordeaux Vintage 2009. Review. Barrel Sample April 2010: 18.5/20. 2015: 4 Vivino-stars. 2018: 4.5 Vivino-stars. 2020: 4.5 Vivino-stars.
53,What a superb wine for Sunday afternoon extremely balanced from fruits to tannins exactly like your first kiss ..unforgettable
54,"Lovely wine, not too heavy, with an earthy richness that is irresistible. Hint of spiciness on the finish caps it off nicely."
55,Wine merchant recommendation and didn't disappoint! Cedar undertones with nice finish. Held up well to lamb meatballs with pasta.
56,"Chocolate, dark fruit and earth on the nose. Rounded and subtle tannis. Earthy, tobaco notes, a hint of leather on the pallete."
57,"Superb balance, dark red, sweet tannin, a touch of oak, the finish is long and powerful. Could wait a bit longer in the cellar"
58,"Cherry, blueberry, plum and graphite minerals flavours. High in tannins but very well formed in the mouth, dry with medium (+) acidity."
59,Pencil and cedar based flavor. A bit sharp on the finish. but overall a very nice wine. Nice for a change of pace from your standard cab.
60,Absolutely amazing wine. Smooth. Dark fruit and earth. Light tannin. One of the best wines I have ever had. Would definitely drink again.
61,I thought this was the best wine of the night. It was a magnum so it still was very lively. Plenty of depth but still lots of fruit.
62,"4,2. Quite a thing! Deep amber color. Fruity bouquet with mango, petrol, vanilla and cherry. Dominating the palate is honey, cantaloupe."
63,"Superb. Sediment coats the bottle. Dark berries, earth, leather, tobacco, sandalwood. Some baking spices. Last bottle of this beauty unfortunately"
64,"91 pts. Plum, berries, wet leaves. Classic Bordeaux; earthy. Super silky, bit past its drinking window peak but still great. Medium bodied."
65,"The flowery nose is so addicting, you just don't want to finish the last sip. Extremely well balanced, variety of dark berries. Such a great wine."
66,"Fruity on the nose. Full body, honey, apple, some passion fruit. Late acidity balances the sweet notes. Smooth long aftertaste. Excellent!"
67,"Harmonious, rich but elegant, balanced, coconut tones in nose. Pronounced but elegant palate, long persistence. Still closed bit. 4,3"
68,"4.2 - Third option from the blind wine tasting, perfect age, blackberry oak tobacco notes and tones due to the age while preserving its elegance."
69,"Blend: 55% Cabernet Sauvignon, 40% Merlot, 4% Cabernet Franc, and 1% Petit Verdot Easily one of the most opulent wines from Pessac-Léognan !"
70,"92/100. I loved it in April 2015 and i loved it last Thursday !!! intense bouquet, lush, silky palate, elegant mid mouth with a super pure length."
71,"Plum liquor, candied cherries, chocolate covered coffee bean, and some spice i cant quite finger...roasted black pepper corn?"
72,Earthy and oaky just out of the bottle. After 30mins of breathing it is sweet to the taste. Had this in the chateau in Dec 2014
73,"Audience Grand Cru Classe 2018, Prague Castle, 27th May, 2021 Great wines overall, super fruity and still pretty young vintage 2018!"
74,One of the favourite! Can never go wrong with a Smith Haut Lafite! Well evolved and powerful yet balanced taste. Love this one!
75,"Smokey, cigar box and earthy. Aromas of dark berries and bit spicy. Tannins are good and wine has this richness on the palate."
76,"Outstanding. Deep ruby color and full body. Fleshy and bold. blackberry, cassis, vanilla, licorice, oak, mint. Need more aging."
77,"This was a really special bottle of wine. A lovely offering of red and dark fruit, subtle but firm tannins and an lingering elegance."
78,"4.3 Sweet, juicy cherry/rasp-/blueberry combo with intensity and concentration. Succulent and oh so smooth. Long finish. Really quite something!"
79,"Served with dinner at the chateau. Decanted 1 1/2 hours before served. Very fruity, with silky tannins. Long finish. Excellent."
80,"Stellar wine - full bodied, balanced, amazing aftertaste. 2015 was a revelation - this is just as good. Textbook High end Bordeaux."
81,Silky-smooth with strong fruits notes of berries and some Japanese pears.
82,"A (simply put amazing! Depth, complexity and balance of dark fruits, acidity & oak are incredible. Has the structure to last decades. Me Likes!)"
83,"Excellent wine! Great intensity, balance body and finish. Blackberries, leather, cassis and earthy. Drinks very well now but will continue to develop for many years!"
84,"Lots of complexity, earthy yet not overpowering, tobacco, unusually big for a Bordeaux. Went great with our prime ribeye, pork chops and pasta. Love this beauty!"
85,"Deep ruby color, black currant, blackberry, long aftertaste with hint of vanilla, oak, nice tannin structure, well balanced. Great wine. Love it. 4.7."
86,"Tasted at UGC 2019. Can’t help myself but compare this to the Pape Clement. Incredibly similar, with a touch more dust and forest floor here. Great buy."
87,"Very nice dark color with notes of oak, leather and cassis on the nose. Superb volume with excellent tannins on the palate. Great vintage, great wine!"
88,"That it is good, exceptional in white but I like more and more their red. Que c’est bon, exceptionnel en blanc mais j’aime de plus en plus leur rouge."
89,Such a nice wine. Fully evolved and would not let it sit for much longer. Ripe blackberry and currants. Tastes better with food. Mature Bordeaux is a real treat.
90,"Very deep and full of dark fruits, cassis, licorice, toasty chocolate notes as well. Still pretty tannic, very tasty and still had plenty of life left."
91,"The right moment to enjoy this wine; superb by its ‘thick’ structure, by the sweet fruit, by the nose with plumbs and cherries and nose with some good leather."
92,"Beautiful! Blackberry, drying mulberry, black cherry, leather, cedar, game, smoke, earth and dried tobacco. Tannins are integrated and this is drinking beautifully."
93,"What a wonderful wine... black berries as they should be! Cherry, black-current and all those fruits and berries you normally expect from really great Grand Cru!"
94,94 pts. Wow what a nice surprise very elegant complex and vibrant fruits lots of black berries medium to full body soft silky tannins and elegant long finish
95,"Clear bright ruby in colour. Very soft, elegant, earth and caramel on the nose. Palate is completely matured with soft sweet red fruit, caramel, dried leaves & graphite."
96,"This is a superb wine. With all of the features of a bordeaux powerhouse! Cocoa, coffee, strong tannins abd a full potential for decades in the bottle!"
97,"Young, precocious. Leather, earth and spice box on the nose. Plum and blackberry. Full bodied. Smooth tannins. One of the treasures of the Pessac in 2009."
98,"This was another fantastic bottle on a crazy wine journey tonight. It could use more age for sure, but drank amazing! So glad to share with DrFly."
99,"Deeper yellow than expected. Fruity with ever so slight hints of truffles and Forrest mushrooms. Opening palate of salty plums, earthy herbs and intense flowers."
100,Every bottle and vintage is a treasure to discover. Excellent nose of dark forest fruit with a hint of leather and a beatiful midium body . Long aftertaste
101,"Had it one year later after the last tasting. Having matured longer, it shows more complexity with notes of cream, nuts, vanilla, honey and perfume. Very enjoyable."
102,"Deep cherry nose. Mature and juicy. plum, tobacco, and blackberry in the mouth. 2005 is a great year for this wine. Still potential for an even better performance."
103,"Rubric : Bordeaux 🇫🇷 RP - 95 , my - 4.4 🍷 Bordeaux blend 🍇 Cassis , tobacco , pencil lead , herbs 🌿 Medium body , gentle tannins Classic & always correct ! 👍"
104,"Molasses, treacle, mushroom, cocoa powder on the nose. Mocha, blueberry, dusty tannins on the palate. Simply sensational young but this would be a cracker in a decade"
105,After 19 years still very bright wine. Took a while to open up. Fruit is forward but in balance. Delicious. Medium body. Elegant finish. Tannins are still strong
106,"Decant for 1 hour. Very very nice flowery nose. Palate is jammy with a lot of complexity dominate by red fruit, cherry and rasberries with aoft silky tannin."
107,Despite the vintage which is below average this wine is shining. Soft tannins and a full bodied style with tremendous many layers of black fruit. Now and until 2030
108,"Plum, vanilla and smoke flavor. Refreshing minerals, cherry, red currant and pepper taste. Interesting. Light astringent, but very pleasant aftertaste"
109,"Very dark and almost opaque. Very pronounced nose of ink, graphite, blackberries, leather, game, coffee, cream and oak. Very rich and fully bodied. Long aging potential."
110,"Uncorked overnight, displaying aromas of fresh fruits, oak, vanilla in a defined, well structured palate. A 100-pointer with great potential to impress over time."
111,"So delicious; the elegance reminds me some degree of Margaux. Very very refined tannin , smooth mouth feel ; earthy savoury with beautiful floral nose. My cup of tea."
112,"Pretty blown away by how well this 2005 drank. Well structured, tart green fruit, limestone and medium body. Drank very well even 5 days after opening"
113,"This wine never dissapoint me , very good red Bordeaux . Price is balanced by excelent flavour , full body , long last finish :) . Enjoy it by all ocasions :)"
114,"After a 2hour decant this wine really showed well. Smokey, dark chocolate & Black fruit. Graphite & wet stone Very elegant, finely grained tannins. Long savory finish that screams Bordeaux!"
115,"Deep ruby in color. On the nose plum jam, leather, tobacco, oak, and very light smoke. The palate follows the nose along with light hints of almond. Extremely good wine !! 4.3"
116,Together with Pape clement they are among the best 2012 Bordeaux left bank wines after the first growth. Slightly younger less complex than Pape Clement now but it has the depth and longevity.
117,"Very deeply coloured, black core. Lifted, dark fruit and notes of mocha. Oaky on the nose. Dense tannins, sweet fruit in the middle, plus some vanilla sweetness, but the end is pretty dry."
118,"Impressive brodeaux one. Fragrant nose, dried plum, hint of stone tobacco and leather on aging. Medium acidity, smooth tannin. Very good concentration on mouth. Complex and medium length."
119,3 hour decant got rid of some tannins. Fruity with hints of cedar. Already a stunner. 10 more years needed. Will be a 100 pointer for sure.
120,"Beautiful treat. Opulent and powerful,dark fruit, blackberries, blueberries, sweet black cherry. Intense, with long soft and leathery finish. Still expressing youth and potential for further guard."
121,"Beautifully balanced young vine with strong tannins and a sweet peppery taste. Pleasant aromas of sweet Asia spice like star anis and wet hay, rucola, honey and caramel Wonderful!"
122,"Passed its peak time with a light nose but still a strong body. Ripen fruits, short finish with hints of leather and soya sauce. Not disappointed by SHL as always. Great winery"
123,"A beautiful wine with concentrated flavours. Sweet tannins and good acidity. Nice aromas and palate if leather, oak, tobacco, earth and black fruits. Full to medium bodied. Very nice!"
124,"The style here although not as good as 09/10, has still improved tremendously compared to before 2000. I liked the purity of the wine, pleasant, elegance. Will improve over time."
125,"Dark red to purple. Nose of dark fruits, plum, minerals, orange peels, liquorice and hints of oak. Medium to full body, dry with moderate acidity. Powerful, gripping tannins. Decent finish."
126,Typhoon Hagibis 2019 was approaching to Tokyo when we drank this home-cellared red one at Koji Igarashi AuxLegumes. The wine was well matured and kept its power in 2019. Very good one!
127,"Very good wine! Blackberry, vanilla and toasted oak on the nose. Good fruit with accent of currant and a bit tart. Well balanced acidity on the finish with slightly chewy tannins."
128,"4.7. - graphite, leather blackfruit on the nose. Vibrant but without feeling young. Spice, and chocolate notes. Baked plums as time passes. Classic Bordeaux but still full if vim!"
129,"An true outperformer. This was excellent. Nicely balanced intensity and power, with velvety tannins. Black currant, light kirsch liqueur, earth, rich floral notes. Very long finish."
130,"Completely ready to be drunk. Farmyard, leather, some red fruit jam, tabaco. Silky tannins, long, balanced ,elegant wine. Bordeaux classic from classic vintage. Can hold 2-3 years more."
131,"Another lovely one, quite ready to drink with good complexity. Red fruits, currants, wet stone, chocolate, sweet tobacco. Very well balanced and velvety tannin. Great enjoyment."
132,"Spectacular. Our 21st anniversary wine. Earthy and then opened up with a dark fruit flavor. Not too sweet. Just right with Seafood, pasta & steak special wine fora special night"
133,Cedar aromas in nose. Beautiful aromas. A lot of wood but is not overwhelming. Elegant and refined in mouth. Smooth. Clean fruity. Quintessential Bordeaux. Yummy. Long long finish.
134,"A close 2nd behind the 2000 for me. Wines from the Chateau, courtesy of the Cathiards. Was told that this was the last Magnum in the Chateau. Layers complexity, expressing it's own every mouthful."
135,"Amazing Bordeaux! Dry, medium body with notes of blackberry, plum, damp earth and tobacco. Graphite cedar and toasted oak on the finish. Full but approachable tannin. A treat!"
136,Wow what a great wine! Deep full bodied red. Leather tobacco chocolate red fruits! Still plenty of tannins and power to age a couple of years. This wine just screams for red meat (and a bbq)
137,Stunning nose that explodes with tobacco Ripe cassis and leather wrapped bureau So young and tight yet drinkable from an Aussie perspective Funnels into a tight was before disappearing
138,"Garnite Purple, Stewed Blackberries and Blueberries, Licorice, Espresso, Light Floral component with Mushroom and Leather, Med Acid, Med+ Tannins, Med+ Body. Well Balanced."
139,"@UGCB Tasting Med+ nose. Mature fruits. High acidity and high tannins a bit green. Red and dark fruits, burnt notes, tea, violet flowers. Long length, well balanced and complex."
140,Black fruits with a hint of lather and oak. A great wine... one of the best. The only problem it was murdered at an early age :) it could have aged smooth 15-20 years...
141,Enjoyed at Wine Spectators NY Wine Experience 2017! Superb. Blackberry and blueberry pie. Tannic but is well balanced with the racey acidity. This draws out more of the secondary flavor notes.
142,"Deep ruby red color with pronounced strawberry, coffee, cedar. medium+ silky tannins, medium+ acidity, full body and medium+ finish. Was bottle decant for 1 hr and transfer into decanter later."
143,"Rich wine, made in a popular oaked style. Remarkable ripeness and softness, especially compared to it's neighbors. Well balanced and pure. Chocolate and leather. Of course a bit young, will develop"
144,"Wow nice! Pleasantly surprised as Colour was brickly red at the first pour and got worried for a while... very forward fruits, leather mocha vanilla oak. Very smooth with silky tannin, Good length. Half star short as it feels a tad too hot at the end of it which lingers in the palette."
145,"Revisiting this attractive Pessac-Leognan rouge last tasted few years back. Great bold, luscious mouthfeel. Palate is expressive with loads of earthy, cassis, leather characters intermixed with good concentration of dark fruits, blackcurrant, blackberry and sweet plums."
146,"👀: Very nice dark color 👃: On the nose are plums, toast, blackcurrant and cream. Slight vanilla and caramel as well, sweet nose. 👅: In the mouth it is juicy with fresh plum and blackcurrant fruit, silky tannins do dry things out a little and fruit to persist. Excellent wine"
147,"Wow not many words needed! 4.3⭐️ even this left bank Bordeaux is still young it has this very rich and tasty nose if dark fruits, spices, tobacco and vanilla. On the palate very structured andc complex with aromas of blackberries, black cherries, tobacco, earth, spices and slightly vanilla. Very juicy and long lasting finish! Cheers 🍷"
148,"Fine focussed nose- lifted and beautifully scented. Power and elegance personified on the palate. Lots of power, loads of backbone. Fine tannins and beautifully balanced. I love this estate. Always memorable wines."
149,"If you can, don’t drink it in 2019 yet. I expect it to further develop. If you open it now, let it breath. Dark red, almost black color, but less dense than other years. Tremendous black fruit, blackberry and leather in the nose. Initially very earthy notes that become lighter after it’s been open for some hours. On the palette silky, yet with crisp tannins and again blackberry as well as black cherry and leather. Long finish."
150,"How can such a young white deliver such length? Still young, not as interesting as I remember the last 2010. But the sheer intensity, fruit, citrus, emerging peach and the long finsh earns the high score today.#keepifyoucanimightfail"
151,"Wood, spices, vanilla, forest floor, dainty red berries, blackberry, forest berries and green herbs. Extremely delicious! Soft and rounded attack. Wow. Delicious notes of ripe cherry, wood, vanilla, red forest berries, forest floor and sweet prunes. Great complex midpalate still vibrant and interesting with fresh fruit. The finish reveals the age of the wine. Mellow fruit but still with vibrant freshness and fine balance. 96"
152,"Dark red core moving to a ruby rim. The nose is very expressive, with notes of licorice, banana pepper, graphite, blackberry, and blueberry. Medium plus body with velvety tannins, and a lingering finish. This bottle will drink well for a LONG time, and is early in its development, but still stunning."
153,"Deep inky purple ruby colour with great legs. Nose of blackberries, cassis, mocha and black currant leaf. Palate is solid, still fairly primary, juicy black fruits, beautifully integrated tannins, well balanced acidity... with an epic finish. Should be good for another 20 years"
154,"Despite the cork's substantial disintegration on cautious opening,the wine,once decanted,opened up fast.10mins in the initially muted nose exhibits red fruits,dried tobacco,cedar,leather and that classic Bordeaux earthiness that only develops after significant bottle age.30mins in a floral note joins in together with hints of orange peel.Palate: blackberry,redcurrant,graphite,earth,tobacco,mineral,spice(gentle).Medium-bodied,supple mouthfeel,evolving,long drying finish.For me,fantastic.Need more space!"
155,4.3. Very enjoyable wine. Balanced. Not overly complex. We had these between 2014 Titus Cabernet and 2011 Pontet-Canet and it was a nice bridge. Not worth the price to me but served as a nice comparison to the Pontet-Canet. Same vintage. Showed how much more complex a left-bank red could/should be.
156,"Had a bottle of this for giggles after trying a glass of the ‘12... much tighter and more structured, started to come in to its own after 2 hours in the bottle (Georgia’s bath and bed time!)... beautiful wine, more savory notes (very old rosemary, crunchy autumn leaves) to go with the wonderful fruit... on all honesty, too early for this one... needs time..."
157,"Probably the finest wine I’ve tried from Smith Haute Lafitte. Full bodied, concentrated and has such great balance and build for aging. Black, inky depths with with blueberry, blackcurrants and blackberry notes seasoned with plenty of spices and herbs. Chocolate and roasting herbs, graphite snd tar. Suffice to say the wine gave off a broad spectrum, an array of complex layers that was gripping. And it has the spine to age well. Tasted 2019 with the Cathiards on the chateau grounds."
158,Pencil lead meat bbq. The kind of wine that reminds you why spending money on Brodeaux is well worth it. That's all you need to know. 👀Starting to look a little bricky at the edges 👃pronounced nose. Sweet and deep. Very minerally. Fairly dense black fruit with that lovely classic pencil coming through. 👅perfect balance. Lovely bbq pit for your mouth. So long. Bing bang boom.
159,"Dark and inky, almost black. Nose is a bit muted largely because this wine is still sleepy! Lots of time yet to enjoy this one. Dark fruit with black cherries and plums opening up to cocoa and spices. Absolutely loved this wine! Open now or take your time."
160,"The wine has a beautiful, shiny dark ruby color. The wine has a concentrated, well-balanced taste with notes of strawberries and gooseberries, nuances of licorice, vanilla and pepper, silky tannins and a long, enchanting aftertaste. The complex aroma of the wine reveals notes of ripe red fruits, in particular, raspberries and cherries, which are replaced by nuances of dry herbs, licorice, cloves, anise, smoke and caramel."
161,"There we go! First impression of toasted bread, afterwards blackberries, cassis and tabacco. On the palate actually quite shy, but super round, dry and a smooth tannin. Honestly one of the best french reds I have had so far (I know it hasn't been thst much yet). A highly complex wine that I wouldn't drink for a dinner, you better enjoy it solo! The only negative point is the price...but I will leave that up to you."
162,"Had at the Sotheby's Bordeaux Grand Crus Event - a 2015 Bordeaux Horizontal Tasting. Love the nose of black and red fruits, wood, and minerality - its very well integrated and almost seductive. Palate is rich with black fruits, chocolate, liquorice and espresso coming together very nicely. Med+ tannin and acid makes this wine age worthy, but very nice to enjoy right now. A tad pricey, but I would splurge on this..."
163,Smith Haut Lafitte. Pessac-Leognan 2015 vintage. 2nd time drinking. 2nd time in love! That smoky oaky nose! Very hard to find fault with this one... Aroma: oak tobacco blackberry plum smoke coffee Palate: dark fruit chocolate cedar vanilla berry jam Salivating and delicious long finish with fine tannins. Restocking for my own pleasure.
164,"Deep ruby colour. Aromas of dark cherry, blackcurrant, leather, cigar box, oak, coffee, chocolate, some herbaceousness licorice. Palate is medium+ acidity, full body, medium+ alcohol, tannins are stromg and still a bit green, great balance, long finish. An excellent classic, elegant, fine, one of my Bordeaux favourites. A great year too!"
165,"Wow!! This was everything i had hoped for. Lively nose of damp earth, blackcurrant, Dominican tobacco, dried plum, saddle leather, Indian spices and licorice that follow trough to a full- bodied palate , with silky tannins and a long ,long lasting length. Very pretty indeed, all in finesse!!"
166,"4.3 I rarely drink Bordeaux, but tonight I wanted to try some matured Bordeaux. I read a lot of positive reviews about this chateau, but actually never tried it, so tonight I opened this wonderful matured SHL😋 So smooth🙏😍🇫🇷🍷👌"
167,"A blend of 55% Cabernet Sauvignon, 36% Merlot and 8% Cabernet Franc. Elegant and smoky nose with blackberry, violet and licorice aromas. Full-bodied. Very good structure. Just a little tannin but softening nicely. Very good grip and distinction. On the palate, this is smooth, plump, generous and harmonious. Accessible. Very good vigor and complexity. Lovely long finish."
168,"Clear and medium garnet in color with noticeable fine sediments. Freshly uncorked, there were vibrant aromas of blackberry, dark plum, dark chocolate and a hint of leather. Three hours of aeration in the bottle spawned complexities of black olives, soil, smoke and cigar boxes. The mouthfeel was dry, full and gently spiced, with medium balanced acidity and a medium to high level of integrating tannin. Flavors of preserved fruit and mint, transitioning into toast, truffles. 4.5‼👌"
169,It took a bit of time for this bottle to open up. I am a bit disappointed as SHL is one of my favourite chateaux and this vintage is sublime. The previous 3 SHL 98 I drank were near perfection with this characteristic floral note. I did not find the same here. May be the conservation was not proper. May be the wine passed its peak or entered a downcycle. Don t know.
170,"Deep impenetrable inky red/purple colour. Gorgeous aromatics of scorched earth, roasted meat, blackberry, Blackcurrant, shaved lead pencil and fine cedary oak. You can really smell the ""creosote"" smell that Parker sometimes mentions in his reviews. Medium bodied with vibrant blackcurrant, subtle leafy notes, crisp acidity and fine grained (ripe) tannins. A touch of astringency perhaps from the oak. Cork 13.0% alc."
171,"Initially it showed pronounced baked barrel and popcorn smell of oak and then good blossom, plum and coffee. Very round and full body with ripe and smooth tannin. Supple and ""sweet"" with mouthful aroma and long finish. I like it!"
172,"Very nice Bordeaux from Graves. Probably one of the better. Very smooth long nice tannins. Works great with sirloin, even in Korean bbQ"
